mpi_method,num_processes,matrix_size,repetition,execution_time,communication_time,status
coletiva,1,800,1,3.397109,0.004266,ok
coletiva,1,800,2,2.952228,0.004335,ok
coletiva,1,800,3,3.078531,0.004043,ok
coletiva,1,800,4,3.395119,0.004059,ok
coletiva,1,800,5,3.482103,0.004246,ok
coletiva,1,1600,1,33.748289,0.016349,ok
coletiva,1,1600,2,33.893215,0.016426,ok
coletiva,1,1600,3,31.183859,0.016722,ok
coletiva,1,1600,4,32.878616,0.016507,ok
coletiva,1,1600,5,33.019246,0.017176,ok
coletiva,1,2400,1,153.095334,0.034011,ok
coletiva,1,2400,2,150.085409,0.033500,ok
coletiva,1,2400,3,149.479393,0.033857,ok
coletiva,1,2400,4,151.433011,0.034063,ok
coletiva,1,2400,5,149.636287,0.033425,ok
coletiva,2,800,1,1.577048,0.015375,ok
coletiva,2,800,2,1.855318,0.015248,ok
coletiva,2,800,3,1.701262,0.015629,ok
coletiva,2,800,4,1.736085,0.015709,ok
coletiva,2,800,5,1.767214,0.015041,ok
coletiva,2,1600,1,23.080551,0.034672,ok
coletiva,2,1600,2,22.743606,0.034389,ok
coletiva,2,1600,3,23.072791,0.035243,ok
coletiva,2,1600,4,16.450705,0.111742,ok
coletiva,2,1600,5,16.487095,0.032102,ok
coletiva,2,2400,1,75.935632,0.060594,ok
coletiva,2,2400,2,76.434340,1.312667,ok
coletiva,2,2400,3,75.779472,0.061045,ok
coletiva,2,2400,4,75.127797,1.253319,ok
coletiva,2,2400,5,76.047321,0.060724,ok
coletiva,4,800,1,0.916227,0.015944,ok
coletiva,4,800,2,0.813085,0.122348,ok
coletiva,4,800,3,0.896130,0.015120,ok
coletiva,4,800,4,0.896004,0.014189,ok
coletiva,4,800,5,0.885652,0.058302,ok
coletiva,4,1600,1,11.314402,0.578077,ok
coletiva,4,1600,2,10.918547,0.498376,ok
coletiva,4,1600,3,11.350614,3.550462,ok
coletiva,4,1600,4,10.833076,0.311074,ok
coletiva,4,1600,5,10.962207,0.039130,ok
coletiva,4,2400,1,37.974555,0.055774,ok
coletiva,4,2400,2,36.725379,0.806839,ok
coletiva,4,2400,3,36.262900,0.209444,ok
coletiva,4,2400,4,36.885026,0.055341,ok
coletiva,4,2400,5,38.237214,2.954846,ok
coletiva,8,800,1,0.623812,0.012369,ok
coletiva,8,800,2,0.576379,0.178011,ok
coletiva,8,800,3,0.535029,0.087456,ok
coletiva,8,800,4,0.519398,0.016807,ok
coletiva,8,800,5,0.515753,0.065045,ok
coletiva,8,1600,1,6.039217,0.311626,ok
coletiva,8,1600,2,5.835432,0.168659,ok
coletiva,8,1600,3,5.830832,0.251314,ok
coletiva,8,1600,4,6.068621,0.044628,ok
coletiva,8,1600,5,5.910444,0.041302,ok
